,EXECUTIONID,ABSTRACTIONID,ACTIONID,ARENAID,SHEETID,SYSTEMID,VARIANTID,ADAPTERID,X,Y,TYPE,VALUE,RAWVALUE,VALUETYPE,LASTMODIFIED,EXECUTIONTIME
21,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"9('create', 'createPythonObject', 0)",5,6,input_value,b,b,<class 'str'>,"(datetime.datetime(2024, 9, 15, 12, 23, 7, 117000), 0)",-1
22,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"2('create', 'createPythonObject', 0)",4,0,input_value,3,3,<class 'int'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 618000), 0)",-1
23,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,,execute,arena_development.xlsx,f4944fc0-4de1-4f25-8b27-6e486c82c573,original,"8('subme', 'str_format', 0)",-1,4,metrics_all_lines_in_function,3,3,<class 'int'>,"(datetime.datetime(2024, 9, 15, 12, 23, 7, 22000), 0)",-1
24,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"8('__getitem__', '__getitem__', 0)",0,1,value,3,3,<class 'int'>,"(datetime.datetime(2024, 9, 15, 12, 23, 7, 22000), 0)",-1
25,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"2('create', 'createPythonObject', 0)",3,5,input_value,1,1,<class 'int'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 618000), 0)",-1
26,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"3('create', 'createPythonObject', 0)",4,6,input_value,1,1,<class 'int'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 678000), 0)",-1
27,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"0('__getitem__', '__getitem__', 0)",2,1,input_value,"[2, 3, 5, 12, 'x', 7]","[2, 3, 5, 12, 'x', 7]",<class 'list'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 223000), 0)",-1
28,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"4('create', 'createPythonObject', 0)",1,6,op,create,create,function,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 766000), 0)",-1
29,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"0('__getitem__', '__getitem__', 0)",1,1,op,__getitem__,__getitem__,function,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 222000), 0)",-1
30,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"9('create', 'createPythonObject', 0)",2,0,input_value,python.Array,python.Array,<class 'str'>,"(datetime.datetime(2024, 9, 15, 12, 23, 7, 116000), 0)",-1
31,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"8('create', 'createPythonObject', 0)",1,0,adaptation_instruction,No adaptations needed,No adaptations needed,AdaptationInstruction,"(datetime.datetime(2024, 9, 15, 12, 23, 7, 21000), 0)",-1
32,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,,execute,arena_development.xlsx,f4944fc0-4de1-4f25-8b27-6e486c82c573,original,"4('addme', 'str_format', 0)",-1,3,metrics_covered_lines_in_function,2,2,<class 'int'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 765000), 0)",-1
33,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"8('create', 'createPythonObject', 0)",7,0,input_value,x,x,<class 'str'>,"(datetime.datetime(2024, 9, 15, 12, 23, 7, 22000), 0)",-1
34,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"4('create', 'FloatingFormat.__init__', 0)",2,2,input_value,FloatingFormat,FloatingFormat,<class 'str'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 765000), 0)",-1
35,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"7('create', 'FloatingFormat.__init__', 0)",1,2,error_message,Could not instantiate class,Could not instantiate class,<class 'str'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 982000), 0)",-1
36,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"9('create', 'FloatingFormat.__init__', 0)",0,2,value,UNSUCCESSFUL,UNSUCCESSFUL,<class 'str'>,"(datetime.datetime(2024, 9, 15, 12, 23, 7, 116000), 0)",-1
37,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"9('create', 'createPythonObject', 0)",7,6,input_value,c,c,<class 'str'>,"(datetime.datetime(2024, 9, 15, 12, 23, 7, 117000), 0)",-1
38,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"2('create', 'createPythonObject', 0)",6,0,input_value,12,12,<class 'int'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 618000), 0)",-1
39,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"1('__getitem__', '__getitem__', 0)",2,1,input_value,"[2, 3, 5, 12, 'x', 7]","[2, 3, 5, 12, 'x', 7]",<class 'list'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 451000), 0)",-1
40,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"3('create', 'createPythonObject', 0)",6,6,input_value,wow,wow,<class 'str'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 678000), 0)",-1
41,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,f4944fc0-4de1-4f25-8b27-6e486c82c573,original,"3('subme', 'str_format', 0)",0,4,value,16,16,<class 'int'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 677000), 0)",60
42,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"9('create', 'createPythonObject', 0)",4,0,input_value,3,3,<class 'int'>,"(datetime.datetime(2024, 9, 15, 12, 23, 7, 116000), 0)",-1
43,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"2('__getitem__', '__getitem__', 0)",2,1,input_value,"[2, 3, 5, 12, 'x', 7]","[2, 3, 5, 12, 'x', 7]",<class 'list'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 618000), 0)",-1
44,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,,execute,arena_development.xlsx,f4944fc0-4de1-4f25-8b27-6e486c82c573,original,"8('subme', 'str_format', 0)",-1,4,metrics_all_branches_in_function,2,2,<class 'int'>,"(datetime.datetime(2024, 9, 15, 12, 23, 7, 22000), 0)",-1
